sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2021-01-18,CV,1,1,0,0,0,34785.71,880.7,193813.6,34785.71,880.7,193813.6,0,0,128320.31,0,0,128320.31,0,0,128320.31
0,0,,2021-01-18,CV,0,0,0,0,0,0,0,108135.09,0,0,107530.98,0,0,106933.59,0,0,106933.59,0,0,106933.59
1,1,Pfizer,2021-01-18,CV,0,0,0,0,0,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88
0,1,Pfizer,2021-01-18,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-01-25,CV,0,0,0,0,0,0,0,129181.52,0,0,129181.52,0,0,128320.31,0,0,128320.31,0,0,128320.31
0,0,,2021-01-25,CV,0,0,0,0,0,0,0,108135.09,0,0,107530.98,0,0,106933.59,0,0,106933.59,0,0,106933.59
1,2,Pfizer,2021-01-25,CV,0,0,0,0,0,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21,0,0,13473632.21
1,1,Pfizer,2021-01-25,CV,0,0,0,0,0,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55
0,1,Pfizer,2021-01-25,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-02-01,CV,0,0,0,0,0,0,0,129181.52,0,0,129181.52,0,0,128320.31,0,0,128320.31,0,0,128320.31
0,0,,2021-02-01,CV,0,0,0,0,0,0,0,108570.77,0,0,107961.8,0,0,107359.62,0,0,107359.62,0,0,107359.62
1,2,Pfizer,2021-02-01,CV,0,0,0,0,0,0,0,7925666,0,0,7925666,0,0,7925666,0,0,7925666,0,0,7925666
1,1,Pfizer,2021-02-01,CV,0,0,0,0,0,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52,0,0,33684080.52
0,1,Pfizer,2021-02-01,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-02-08,CV,1,0,0,0,0,35086.46,888.31,195489.22,0,0,129429.7,0,0,128565.19,0,0,128565.19,0,0,128565.19
0,0,,2021-02-08,CV,0,0,0,0,0,0,0,109899.12,0,0,109275.2,0,0,108658.32,0,0,108658.32,0,0,108658.32
1,1,Pfizer,2021-02-08,CV,0,0,0,0,0,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03
1,2,Pfizer,2021-02-08,CV,0,0,0,0,0,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34
0,1,Pfizer,2021-02-08,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-02-15,CV,0,0,0,0,0,0,0,130939.09,0,0,130054.36,0,0,129181.52,0,0,129181.52,0,0,129181.52
0,0,,2021-02-15,CV,0,0,0,0,0,0,0,110439.61,0,0,109809.55,0,0,109186.65,0,0,109186.65,0,0,109186.65
1,1,Pfizer,2021-02-15,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,2,Pfizer,2021-02-15,CV,0,0,0,0,0,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34
0,1,Pfizer,2021-02-15,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-02-22,CV,0,0,0,0,0,0,0,131835.93,0,0,130939.09,0,0,130054.36,0,0,130054.36,0,0,130054.36
0,0,,2021-02-22,CV,0,0,0,0,0,0,0,111076.93,0,0,110439.61,0,0,109809.55,0,0,109809.55,0,0,109809.55
1,1,Pfizer,2021-02-22,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,2,Pfizer,2021-02-22,CV,0,0,0,0,0,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34,0,0,6416015.34
0,1,Pfizer,2021-02-22,CV,0,0,0,0,0,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55,0,0,12248756.55
1,0,,2021-03-01,CV,0,0,0,0,0,0,0,133270.35,0,0,132353.95,0,0,131450.07,0,0,131450.07,0,0,131450.07
0,0,,2021-03-01,CV,0,0,0,0,0,0,0,112939.08,0,0,112280.27,0,0,111629.1,0,0,111629.1,0,0,111629.1
1,1,Pfizer,2021-03-01,CV,0,0,0,0,0,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68,0,0,22456053.68
0,1,Pfizer,2021-03-01,CV,0,0,0,0,0,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88,0,0,5389452.88
1,2,Pfizer,2021-03-01,CV,0,0,0,0,0,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23,0,0,5182166.23
1,0,,2021-03-08,CV,0,0,0,0,0,0,0,139334.36,0,0,138332.98,0,0,137345.89,0,0,137345.89,0,0,137345.89
0,0,,2021-03-08,CV,0,0,0,0,0,0,0,117570.96,0,0,116857.17,0,0,116152,0,0,116152,0,0,116152
0,1,Pfizer,2021-03-08,CV,0,0,0,0,0,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49
1,1,Pfizer,2021-03-08,CV,0,0,0,0,0,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22
1,2,Pfizer,2021-03-08,CV,0,0,0,0,0,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5
0,1,Moderna,2021-03-08,CV,0,0,0,0,0,0,0,44912107.35,0,0,44912107.35,0,0,44912107.35,0,0,44912107.35,0,0,44912107.35
1,0,,2021-03-15,CV,0,0,0,0,0,0,0,145503.59,0,0,144411.92,0,0,143336.51,0,0,143336.51,0,0,143336.51
0,0,,2021-03-15,CV,0,0,0,0,0,0,0,125804.22,0,0,124987.31,0,0,124180.94,0,0,124180.94,0,0,124180.94
0,1,Pfizer,2021-03-15,CV,0,0,0,0,0,0,0,1104396.08,0,0,1104396.08,0,0,1104396.08,0,0,1104396.08,0,0,1104396.08
1,1,Pfizer,2021-03-15,CV,0,0,0,0,0,0,0,1845703.04,0,0,1845703.04,0,0,1845703.04,0,0,1845703.04,0,0,1845703.04
0,1,Moderna,2021-03-15,CV,0,0,0,0,0,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023
1,2,Pfizer,2021-03-15,CV,0,0,0,0,0,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5
0,2,Pfizer,2021-03-15,CV,0,0,0,0,0,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03
0,1,AstraZeneca,2021-03-15,CV,0,0,0,0,0,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03,0,0,67368161.03
1,0,,2021-03-22,CV,0,0,0,0,0,0,0,155405.22,0,0,154160.55,0,0,152935.67,0,0,152935.67,0,0,152935.67
0,1,Pfizer,2021-03-22,CV,0,0,0,0,0,0,0,962402.3,0,0,962402.3,0,0,962402.3,0,0,962402.3,0,0,962402.3
0,0,,2021-03-22,CV,0,0,0,0,0,0,0,132353.95,0,0,131450.07,0,0,130558.45,0,0,130558.45,0,0,130558.45
1,1,Pfizer,2021-03-22,CV,0,0,0,0,0,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25
1,1,AstraZeneca,2021-03-22,CV,0,0,0,0,0,0,0,8421020.13,0,0,8421020.13,0,0,8421020.13,0,0,8421020.13,0,0,8421020.13
1,1,Moderna,2021-03-22,CV,0,0,0,0,0,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26
1,2,Pfizer,2021-03-22,CV,0,0,0,0,0,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97
0,2,Pfizer,2021-03-22,CV,0,0,0,0,0,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1
0,1,Moderna,2021-03-22,CV,0,0,0,0,0,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1
0,1,AstraZeneca,2021-03-22,CV,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,0,,2021-03-29,CV,0,0,0,0,0,0,0,172297.09,0,0,170768.47,0,0,169266.74,0,0,169266.74,0,0,169266.74
